githash,ipc,KIPS
5703baf3705e33bc127798a480fa165adca64aa1,2.21414,150
b9a217220c817ec6d7e4b972e0ec3b03d04c98fb,2.21414,166
d83abad0a693fd4accc29cd1538459a6ec16217a,2.21414,166
e5fdad6391070070dbf9051947af058ea4a401f2,2.21414,200
98af6f9936f7f23f72151f51855c369dee99a429,2.21414,166
2188f2035538bffcee8e291a60a558d2261f4609,ERROR,
a21105cd5defd582352ec72fe4d5e8a8e8fd6d09,2.21414,166
c897ba972db3ebe7f41a5839e91d5db74c4a48f7,2.21414,166
f64e712098fa2f07b9aba3d26cb3060271101c0b,2.21414,166
3939a085d29c05bec8f689ba9d8e417190439135,2.21414,166
f453aad2ed85476dbdc4462dea79f3a6965def88,2.21414,166
527896324dac21027c25f16a017154aad1867303,2.21414,200
4e37c2f6b62c9da6dcb385a0aaad508d41de21e3,2.21414,200
bcfdb0912fb8095dcd65d92ce54b65f77ec411e8,2.21414,166
5ee382a43a8f154b4908140eef6ede9c3cbf4edc,2.21414,166
7a048c9425c147193bfebf5decb17c3c589412f8,2.21414,166
6fb0c8f7d90c711fa7f1e7693f554180d26c88e3,2.21414,166
76ecb3fddb9123dca29f32dbb4b511dadbe1af1b,2.21414,166
4e73ed4ec598b8b93df36d45befbcf8cf391740e,2.21414,166
12bf7f2de0a51765c131be07f719830adde4672b,2.21414,166
bca65622b86698df14f02f07f25a1dcb565bd2b5,2.21414,166
9ade03cef0e920eb6c32f35502e68c47cedd56bc,2.21414,142
ab802a5a1baccb33295005e0872046701a4f00ae,2.21414,200
a7f393337fd92fa8258d6ce9feb73a7e699d5e8b,2.21414,166
c760a5ec87e79d69a8fa398a12c249e55b2d3abb,2.21414,166
21b5e32883fe38024fd11c44920a6a0d0775476d,2.21414,166
12116db8e611f6e47ce7b3536f49933d92e807ab,2.21414,166
4ad0cf933b0a5317275a0030845f9a411696ea91,2.21414,166
bc0190790bd73aa6e1d588e1dd6a5585fcdb0663,2.08571,166
9fe4e37f21b3629a6bf4b480f9f322bc60585384,2.08571,166
fce21cc3962502e50d7c5c2f74e541f005564924,2.08571,166
807778f01da2c88fb127edab4a9ac441f0ec52d0,2.06823,166
ad6fdaae6dc48bd84edffe02a2b91f7b33d9a315,2.06823,166
20b11bd39ff63eb5f358dc66b88862c3cc080ecd,2.06823,166
d9a2c6972f611479a4dc4a768fc9eecb05c0c4c3,2.06823,166
ce10ba5f469fc28187e5eb88a21b8e1f58e9b07d,2.06823,200
a1cee07ddc95fd45c4a586ecb19f7abc36ab09bb,2.06823,166
8b0c5f17eca909782ba17d12513f6ad4ae9a2284,2.06823,142
7c6cffcaad499c9a5ba132feac6aa2780a089875,2.06823,166
4e3fbcebd9071d2425b59ff6b0ea1e0eddd5ddc4,2.06823,200
0e14a5fbb6d26dcb170a824ce03f5d4f376d428d,2.06823,200
90c7877be95ad15dc3f84e4836de0c0565c805cc,2.06823,166
2feb874a32c7eb3fd2ee6411e2f16db0f2eb36e9,2.06823,166
c4512ef139a0ebabf9863df50c06f1843734d93e,2.06823,166
17b287579dbcc84b3eb4964b5933bf6ba909b46b,2.06823,166
8e4f012da26a42622b2c4f37e36db9b83a116fde,2.06991,166
6a4e29a799af510b474611e501aace24b684c434,2.06991,166
9a57b6ffb6ab2821275da92b5636b7273ec6b380,2.06991,166
1652748ae348c854cb6a0dbb3a45897a6ad2133c,2.06820,166
4a03b768fcbe57b9f59e06fc6a29d83d8b7d25c0,2.06820,166
69d92b0dd8ec5e8fe22254d465bba718a1107c8b,2.06820,166
31726d8b06c5840d6f8cf7541f605a66d9ff1a83,2.06820,166
8d95e0b0486d853920f595f703e36042fa98b8a8,2.06820,166
887ef4f39dd612755e3044827b66981289bd2c49,2.06726,166
